signature,count
ABCDBACDB,360
ABCDBACDA,360
ABCDBACBA,360
ABCDBACBD,360
ABCDABDCB,360
ABCDABDCA,360
ABCDABDAC,360
ABCDABDAB,360
ABCDBADBA,360
ABCDBADBC,360
ABCADCADC,360
ABCADCADB,360
ABCADCABD,360
ABCADCABC,360
ABCABCADC,360
ABCABCADB,360
ABCDACDBC,360
ABCDABCDB,360
ABCDABCDA,360
ABCDACDAB,360
ABCDACDAC,360
ABCDACDBA,360
ABCDACBDC,360
ABCDACBDA,360
ABCDACBAC,360
ABCDACBAD,360
ABCDBADCA,360
ABCDBADCB,360
ABCDABCAD,360
ABCDABCAB,360
ABCADBCDB,360
ABCADBCDA,360
ABCADBCAB,360
ABCDBCDAB,360
ABCDBCDAC,360
ABCADBCAD,360
ABCADBADC,360
ABCADBADB,360
ABCADBACD,360
ABCADBACB,360
ABCADCBAD,360
ABCADCBAC,360
ABCABCDBA,360
ABCABCDBC,360
ABCADCBDC,360
ABCADCBDA,360
ABCABCDAC,360
ABCABCDAB,360
ABCABDCAD,360
ABCABDCAB,360
ABCABDCBD,360
ABCABDCBA,360
ABCABDACB,360
ABCABDABC,360
ABCABDABD,360
ABCDEFDCG,248
ABCDECBFG,248
ABCDECDFG,246
ABCDEFDEG,242
ABCDBCEFG,242
ABCDEFBEG,240
ABCDEFBDG,240
ABCDEFBCG,240
ABCDEFDBG,240
ABCDEBCFG,240
ABCDECFEG,240
ABCDECFBG,240
ABCDECFDG,240
ABCDBECFG,240
ABCDBEFDG,240
ABCDBEFCG,240
ABCDBEDFG,240
ABCDEFCBG,240
ABCDEFCEG,240
ABCDEFCDG,240
ABCDBEFBG,240
ABCDEBDFG,240
ABCDEBFEG,240
ABCDEBFDG,240
ABCDEBFCG,240
ABCDBAEFG,140
ABCDEFGEF,140
ABCDEFGED,140
ABCABDEFG,140
ABCABCABC,126
ABCDACEFG,120
ABCDEAFBG,120
ABCDEFBGE,120
ABCDEFBGD,120
ABCDEFBGF,120
ABCDEFBGC,120
ABCDEFBAG,120
ABCDEFDGF,120
ABCDEFDGC,120
ABCDEFDGB,120
ABCDEFDGE,120
ABCDEFDAG,120
ABCDECAFG,120
ABCDEFGCE,120
ABCDEFGCF,120
ABCDEFGCD,120
ABCDEFGCB,120
ABCDEFGBD,120
ABCDEFGBE,120
ABCDEFGBC,120
ABCDEFGBA,120
ABCDEFGBF,120
ABCDEFGEC,120
ABCDEFGEB,120
ABCDEFGDF,120
ABCDEFGDE,120
ABCDEFGDB,120
ABCDEFGDC,120
ABCADCEFG,120
ABCDEABFG,120
ABCDECFGE,120
ABCDECFGB,120
ABCDECFGC,120
ABCDECFGD,120
ABCDECFAG,120
ABCADECFG,120
ABCDEADFG,120
ABCDEAFDG,120
ABCDEAFCG,120
ABCADEAFG,120
ABCDBEAFG,120
ABCDEAFEG,120
ABCDAECFG,120
ABCDBEFGE,120
ABCDBEFGD,120
ABCDBEFGC,120
ABCDBEFGB,120
ABCDAEFBG,120
ABCDAEFAG,120
ABCDABEFG,120
ABCDEFACG,120
ABCDEFABG,120
ABCDEFCGD,120
ABCDEFCGF,120
ABCDEFCGE,120
ABCDEFCGB,120
ABCDEFAEG,120
ABCDAEFDG,120
ABCDEFADG,120
ABCDAEFCG,120
ABCADEFAG,120
ABCDEBAFG,120
ABCDBEFAG,120
ABCDEFCAG,120
ABCADBEFG,120
ABCADEFDG,120
ABCADEFCG,120
ABCADEFBG,120
ABCDEACFG,120
ABCDAEDFG,120
ABCDEBFGD,120
ABCDEBFGE,120
ABCDEBFGB,120
ABCDEBFGC,120
ABCDEBFAG,120
ABCDAEBFG,120
ABCADEBFG,120
AB,40
ABCDEFGEH,40
ABCDBEFGH,40
ABC,23
ABCDEFGHI,20
ABCD,6
